Cliente,Edad,Score,Saldo
15762615,40,597,10199.312
15625426,55,754,16160.881
15716334,45,850,12231.121000000001
15621075,45,778,16215.042000000001
15771977,39,730,9901.067
15587421,34,687,11138.818
15726931,41,715,5621.485
15771086,36,512,8432.777
15702741,32,601,9301.289
15679200,29,580,6171.044
15594815,35,807,17479.015
15777892,37,721,10772.064
15811127,35,521,9642.384
15604482,30,850,14104.001
15622911,42,759,10542.018
15727868,38,711,12902.206
15627801,33,512,17666.662
15755262,41,608,8976.384
15679531,34,618,13495.453
15612087,45,671,10637.685000000001
15752047,33,689,16181.464000000002
15594917,34,676,6309.501
15785542,26,572,11828.701
15723488,47,668,10685.421
15680920,46,695,4951.255
15659366,43,807,10579.932
15725311,31,726,11472.205
15568748,45,671,9956.422
15699029,37,670,17055.791
15676895,39,547,7459.615
15637753,50,751,9688.839
15605461,29,594,13083.022
15723886,20,767,11971.425
15704769,67,585,11397.897
15772896,42,763,10016.075
15764866,43,539,11622.05
15795149,28,703,8117.383
15651001,39,725,11680.380000000001
15813844,37,703,10596.168
15596175,67,659,11741.16
15797219,40,635,12349.758
15685500,26,772,15240.051000000001
15657566,24,634,10309.785
15772423,54,739,12641.814
15628112,36,771,7784.69
15694717,37,544,7973.191000000001
15592979,34,671,3726.667
15750803,30,693,12799.225
15607178,38,850,5490.101000000001
15713853,42,732,10874.808
15673481,48,726,9990.619
15686776,32,557,18468.641
15673693,26,682,11065.402
15700696,31,738,7901.9800000000005
15813163,36,531,9924.051
15799217,35,791,5243.62
15619955,34,733,10033.796
15796505,34,811,14929.719000000001
15800116,28,712,14560.544
15683562,35,646,8402.686
15643024,35,479,13871.892000000002
15699389,42,807,11827.471000000001
15708608,22,799,17418.598
15626144,40,675,11320.886
15573112,29,602,10390.728
15790678,32,475,11902.328
15727556,26,744,16629.789
15652266,42,703,6322.7
15607098,41,747,9452.117
15590241,34,750,11282.225999999999
15723654,25,773,13590.332999999999
15774510,31,714,12516.926
15650068,58,511,14911.731
15682541,36,616,13231.170999999998
15812191,33,553,11808.289
15636673,31,667,11926.669
15660211,35,629,15684.729000000001
15773972,50,614,13710.447
15746726,31,438,7839.869000000001
15702919,30,729,6366.942
15797960,59,806,13529.632999999998
15631868,36,744,15380.444
15662736,49,559,14706.978
15626114,24,429,9574.175
15810834,57,525,14596.533
15678910,30,680,14144.175
15694408,40,749,13929.041000000001
15736601,35,716,14442.886999999999
15736008,46,644,9544.127
15669064,35,671,14484.874
15624528,26,664,11624.414
15601274,40,667,14650.207
15702669,44,663,11702.86
15728669,30,584,11201.381
15742668,37,626,10826.937
15697441,29,485,18212.379
15740476,32,659,15092.374
15636624,39,805,16527.213
15807923,39,716,11530.131
15745844,40,642,12950.249
15786170,31,659,11834.225999999999
15658935,34,630,10693.705
15747358,59,643,17033.137
15735203,32,654,11451.085000000001
15659420,32,659,10759.411
15593365,39,762,8127.313
15777352,32,568,16939.96
15625461,45,613,18784.199
15611759,57,850,12677.630000000001
15661629,34,522,12643.628999999999
15633950,41,737,10196.074
15696674,45,643,15084.293
15706365,50,648,10253.557
15745088,29,443,9902.761
15633537,42,540,8727.141
15594720,35,460,10274.291000000001
15684042,34,636,4010.5510000000004
15583303,29,593,15226.543
15611579,42,801,14194.767000000002
15774696,75,640,10630.791000000001
15694506,31,611,10788.481
15688074,31,802,12501.372
15759537,35,717,5846.937
15583456,45,745,11723.163
15667871,35,572,15239.026000000002
15677371,30,629,3401.363
15591509,36,690,10158.311
15568240,30,492,7716.887
15622993,28,709,12469.572
15689294,44,705,10593.496000000001
15717225,21,544,16152.596
15685226,29,712,14719.907000000001
15785611,38,752,18310.229
15573456,46,648,12720.9
15620505,24,594,9737.854
15807432,37,645,13692.509
15584766,33,557,5450.3550000000005
15612187,32,547,15572.685000000001
15646372,66,616,13584.241
15690452,52,605,6334.975
15747795,38,593,12949.942
15732674,36,443,7043.8009999999995
15578045,49,538,14143.404
15701376,37,668,15295.829000000002
15691625,41,537,13830.634
15686302,31,745,12432.884
15801559,41,693,18146.148
15720559,61,487,11036.803
15695632,39,556,8958.835000000001
15810418,60,756,11592.489
15674551,40,535,11175.65
15784597,26,648,16292.385
15652883,39,492,12457.664999999999
15806964,45,702,8079.358
15576313,40,486,7134.009
15806467,40,568,9928.263
15597602,57,619,13794.639000000001
15743040,41,724,12789.257000000001
15705521,33,548,10108.436
15595039,37,545,11475.408
15581197,51,762,9928.698
15693737,30,627,7987.102000000001
15624623,35,516,10408.859
15783501,38,800,16819.033
15690134,42,464,8567.925
15672145,34,534,12155.158
15732628,46,745,12222.019
15787470,47,553,11652.814999999999
15803406,26,748,7778.0289999999995
15644572,40,501,12583.22
15694860,38,675,6806.58
15658169,47,778,12729.934
15794396,38,494,17493.764000000003
15710825,31,592,11007.11
15668444,44,590,13943.237
15726631,39,758,12735.776
15707362,43,514,9555.631
15732778,29,468,11168.198
15670039,25,509,10873.871000000001
15773792,32,662,13395.037
15726032,33,608,8996.869
15593782,38,816,13087.875
15759298,27,631,13416.962
15683625,37,703,14976.207999999999
15635367,26,774,9384.469000000001
15591986,46,621,14107.837
15798888,31,605,11799.259
15809722,40,611,10081.233
15797736,29,658,8026.26
15695585,34,788,15647.862
15578186,37,486,11521.799
15637954,35,730,15547.054999999998
15613772,39,542,13509.677
15807709,55,714,18007.522
15714689,29,591,9754.124
15699005,41,710,15606.704999999998
15624170,38,639,8155.094
15585865,38,673,17006.192000000003
15804256,36,765,9231.054
15662403,32,622,16908.938000000002
15733616,40,806,8061.392999999999
15591995,26,757,12158.155999999999
15714485,60,774,8589.155
15730059,44,638,7763.735000000001
15805565,30,691,11692.789
15677307,40,684,13732.664999999999
15568506,31,524,6723.897999999999
15761043,38,632,8656.975999999999
15593601,34,734,13359.84
15682048,51,605,13618.878
15781307,37,779,12009.252
15775912,48,698,10123.824
15745417,58,707,8968.592
15671256,35,850,21177.431
15653547,56,850,13131.748000000001
15595766,37,527,9372.273
15742358,32,696,10116.099
15763274,48,661,12032.054
15653849,48,572,15282.798999999999
15694272,30,673,6409.775
15736112,57,519,11903.535
15749851,26,702,13521.957
15663478,32,729,9369.442
15592300,35,543,5940.862999999999
15567832,40,550,11435.494999999999
15592846,35,639,12817.39
15794142,62,564,11493.135
15762729,28,745,11107.136
15667896,37,833,15122.617999999999
15776223,42,597,6474.012000000001
15705953,51,721,16931.213
15615457,44,842,11265.208
15720187,30,479,14396.435999999998
15595440,49,508,12245.146
15750141,36,721,6525.307
15657284,47,674,10690.194
15763063,25,685,12850.963
15711309,33,574,12983.467
15775318,51,590,15496.298999999999
15705515,40,587,13824.189999999999
15634844,41,598,9153.693
15670080,29,584,10520.401
15800440,61,650,15296.873000000001
15665678,36,607,15826.168
15788126,38,689,12102.105
15689614,63,687,13771.566
15795564,31,737,12119.222
15728505,44,601,10048.617999999999
15622003,35,745,9256.653
15644753,40,848,11092.996000000001
15761986,32,439,13890.160999999998
15633922,30,755,12321.766
15737741,33,607,10843.187
15753719,30,547,7239.241
15803689,51,647,11974.177
15718057,51,760,10094.671
15722010,53,621,17049.184
15591047,47,519,15729.601999999999
15788291,38,713,14460.622
15604044,38,700,13481.13
15679587,34,666,11589.712
15775153,32,630,8203.4
15603925,26,779,17431.813000000002
15680970,41,611,11420.684
15567446,39,646,11157.441
15637476,57,683,16244.869
15714939,34,484,14824.954000000002
15645569,26,762,12370.946
15609286,37,702,15052.579999999998
15586585,51,698,11101.898
15686611,30,495,12975.599
15619857,64,605,12955.57
15805062,38,667,8720.238000000001
15660271,26,688,14613.339000000002
15719352,39,754,17018.499
15766575,62,612,14074.533
15594594,42,546,13907.051000000001
15682585,35,593,11419.324
15603134,40,656,16787.85
15636444,53,535,14161.654999999999
15773456,36,678,14574.767000000002
15745307,48,477,12912.064
15604119,35,850,11034.982
15626900,29,427,14132.556
15605447,49,752,7865.384
15692463,28,799,14225.365
15811762,54,583,11598.886
15718673,33,839,7559.2429999999995
15724282,44,540,16411.304
15738181,31,850,6799.623
15583725,48,682,13877.814999999999
15588350,43,744,14783.215
15798398,36,785,13543.84
15784844,48,752,11606.008
15580684,29,706,11256.462
15809663,27,583,12540.658
15640078,39,660,13513.499
15698786,39,819,13310.292000000001
15569807,34,673,4215.7080000000005
15805112,38,578,8225.929
15711889,42,668,15046.107
15664610,48,459,13399.452
15751710,31,729,16487.081
15692926,25,498,12170.273
15813741,25,549,19385.82
15698474,54,601,13103.997
15568595,64,544,11382.945
15592937,41,632,8187.738
15699637,57,694,11632.607
15725511,31,559,12707.073
15640825,46,695,12254.964
15662397,42,640,17609.913
15576368,48,624,12238.838
15745621,32,640,11887.935000000001
15607040,38,593,8873.644
15715142,45,739,10270.362
15780804,55,482,9731.825
15613880,58,591,12846.869
15775238,41,651,13343.259
15786905,40,749,14178.257000000001
15747867,24,583,13512.528
15600337,42,661,17882.091
15801277,31,715,11221.214
15579334,45,769,12667.481
15802741,51,625,13629.497
15720649,36,641,6639.264
15589493,27,716,12255.234
15688251,43,767,7640.885
15665238,36,745,14507.124
15681068,45,796,10973.022
15727299,62,445,6411.938
15620204,57,543,10613.833
15736534,33,742,18165.651
15659098,30,669,9512.886
15603436,49,594,12661.594000000001
15808621,36,659,7619.048
15580148,40,750,16828.681
15776231,35,626,8810.981
15734886,34,686,12397.151
15722548,48,540,14811.648000000001
15650288,35,634,11626.901
15629448,38,632,12059.921
15716164,41,501,14426.05
15807609,25,650,8660.55
15677369,37,554,5862.997
15721658,56,672,20976.731
15578761,42,459,12963.425
15571973,38,776,16982.446
15626742,36,694,9753.025
15672692,42,787,14598.865
15654238,40,673,13749.428
15812750,24,591,14736.0
15723873,31,657,12516.702000000001
15744607,43,738,12115.205
15612966,60,545,12898.107
15794278,67,816,15185.898000000001
15766741,36,525,11462.84
15705639,28,692,9505.902
15637414,24,618,12873.639
15716835,24,546,15632.538
15696231,29,635,10540.597
15641675,49,611,8891.537
15787619,18,844,16098.003
15587535,46,450,17761.970999999998
15813034,38,727,6227.699
15698839,46,460,12755.997
15634245,47,758,9552.316
15677305,35,490,10774.903
15661526,37,815,11077.725999999999
15685997,39,838,16673.392
15660101,31,803,15712.086
15637979,36,664,12716.078
15647099,37,633,15609.197
15625944,58,664,9866.818
15583212,43,600,13402.206
15582741,35,693,12415.109
15637876,36,663,7725.35
15622750,21,742,11429.248
15672056,43,710,14008.032000000001
15812351,27,710,13527.795999999998
15677921,60,720,11592.062
15724296,41,684,11978.272
15685329,63,531,11471.571
15584091,36,742,12974.854
15640442,31,717,12972.257000000001
15685320,36,767,13918.02
15789158,49,636,11359.974
15752137,33,648,13494.4
15712551,58,622,11692.225
15628936,28,692,11894.509
15769974,35,679,11918.273
15585595,28,774,7126.402
15571221,58,747,11631.357
15660155,36,792,9214.015
15694366,42,714,17764.009
15653253,48,704,16799.760000000002
15763431,36,698,8227.535
15707473,48,850,11196.299
15769504,34,743,13173.688
15686870,36,761,10823.911
15668747,46,702,9844.419
15766908,32,488,11454.038
15570134,35,683,18753.066
15567367,42,601,13363.616
15762238,44,671,8474.503
15681554,31,614,12059.938
15640280,39,850,12777.135
15708917,53,598,16777.296
15778463,37,657,9584.560000000001
15649992,65,681,13471.470000000001
15775306,28,421,12238.422
15619708,25,745,15799.314999999999
15806438,42,580,12333.136
15591969,27,497,7526.316000000001
15747807,43,720,13782.403
15596939,36,659,13257.892000000002
15716155,36,841,15602.131
15757811,69,732,13745.342999999999
15660602,33,464,16428.472
15596914,31,630,11237.349
15797964,29,732,15433.382000000001
15625881,37,634,11143.277
15575883,34,559,13739.010999999999
15589488,56,686,11164.208
15727915,36,507,8354.337
15707567,50,732,14533.876
15737792,31,818,18679.637
15599433,35,660,5864.143
15806983,44,640,13714.867999999999
15592222,49,505,8000.123
15608968,21,714,8640.252
15646558,51,611,12287.474
15725811,25,705,9754.429
15572265,46,646,17082.655
15794048,48,667,9713.392
15677610,41,511,15389.564999999999
15693864,49,567,13495.601999999999
15760550,39,741,14363.757999999998
15686137,32,456,14750.625
15807663,43,667,19022.746
15809100,32,548,17244.877
15794916,41,725,11398.021
15686983,25,678,7696.812
15808017,38,545,8829.313
15756804,48,636,17083.345999999998
15646810,44,603,10812.239
15692750,45,629,12981.839
15794549,35,722,16394.389000000003
15674840,38,645,10143.03
15653762,39,501,11730.166000000001
15581229,32,502,17334.083
15656333,33,574,13434.857
15697497,45,518,10552.564999999999
15785519,36,565,10619.210000000001
15743007,45,643,4514.443
15777211,65,515,9211.361
15591711,38,739,12836.644
15702968,74,733,10654.553
15600462,43,542,14561.837
15768104,37,788,14154.125
15780140,32,435,5701.706
15669987,35,728,12588.494999999999
15697000,32,728,6182.55
15654700,40,523,10296.741
15632210,25,657,17177.055
15642041,40,727,9305.164
15709737,36,643,16106.464000000002
15792388,48,645,9061.234
15786014,28,568,14510.564000000002
15814275,33,685,17491.272
15724848,46,516,10494.772
15754713,31,685,13521.371
15599660,36,604,11622.985
15746490,53,648,11120.141
15655961,27,756,13189.9
15710404,35,569,12452.552
15719856,45,646,4713.475
15601026,19,572,13865.707999999999
15658485,34,785,7030.248
15636731,36,714,10160.901
15633461,38,639,13017.082
15677135,61,520,13380.229000000001
15590876,24,764,10623.402
15790782,39,661,13262.898000000001
15700476,41,564,10352.275
15634141,42,708,19239.052
15613630,52,775,10992.261
15662100,44,850,12860.532000000001
15599289,37,724,6859.856
15754084,35,710,10651.852
15781465,29,675,12132.642
15729362,36,745,6722.637
15709295,25,697,8293.185000000001
15741336,38,715,11859.041000000001
15783659,67,659,14598.187
15620981,48,684,7330.938
15630328,48,635,13079.633
15785899,33,789,15160.756
15606149,66,571,11157.701
15671139,39,694,10704.274000000001
15660429,42,665,15637.160999999998
15571002,44,706,12960.599
15619529,27,531,13257.625
15628034,37,629,12910.130000000001
15686164,31,850,10882.24
15582797,35,685,13794.851
15753831,32,642,10043.380000000001
15731815,63,529,9613.411
15580956,43,683,11588.804
15602084,42,663,12462.607
15589805,34,563,13981.034
15641009,37,544,8449.671
15605926,70,649,11685.471000000001
15805955,48,638,13833.303
15605918,43,635,7899.275
15779711,38,750,9725.741
15705620,34,730,12245.337
15685357,36,750,11294.007000000001
15570060,43,586,13255.826000000001
15799515,48,652,13329.723999999998
15624729,27,594,19704.18
15566156,44,749,7149.7789999999995
15807008,35,614,12810.028
15704770,25,773,12453.278
15756475,31,551,8229.382000000001
15655339,36,566,14212.091
15613749,34,569,15183.926000000001
15664521,31,659,14962.088
15681206,49,722,16819.766
15745527,37,655,9314.7
15806926,35,615,9744.002
15724563,42,752,6504.608
15782899,28,661,9535.749
15623521,43,838,12310.588
15608114,62,587,12128.627
15659557,28,811,16773.882
15787772,38,759,10409.128999999999
15691111,42,648,12198.056
15633897,39,725,5088.098
15701301,42,646,17515.989999999998
15723685,26,601,10551.469000000001
15701602,52,521,11649.731
15573086,42,564,9982.445
15698442,35,719,12296.488000000001
15686936,37,676,8963.469000000001
15770424,40,541,9571.011
15587451,41,778,13970.631
15602010,45,850,10390.986
15654673,49,625,17343.489999999998
15717164,32,485,10223.801
15765014,48,547,17938.074
15729279,25,718,10869.195
15769948,35,737,13337.779999999999
15681174,39,730,11653.76
15695475,29,645,13013.108
15668958,30,521,10731.609
15581479,30,523,8318.128999999999
15780870,67,580,15394.614000000001
15593969,39,630,13548.317000000001
15779059,38,670,11962.454
15785980,34,588,12113.225999999999
15645103,25,812,5481.755
15705860,40,631,10794.945
15715003,49,625,8081.6449999999995
15623471,38,607,9820.577000000001
15798348,50,600,9468.427
15743016,22,602,14160.476
15706534,47,581,12294.914
15706186,33,640,8167.722
15812197,38,850,8029.397999999999
15650933,48,490,15541.306
15631189,38,613,6711.164999999999
15762198,34,812,10381.842999999999
15692744,36,512,15216.912
15599131,26,650,21434.696
15628674,40,844,11334.814
15648075,47,686,17093.594
15586970,52,695,10302.326
15682618,31,535,11185.503999999999
15762937,32,743,14034.856
15729832,29,658,14551.284
15633650,41,677,14672.098000000002
15748856,32,664,10720.973
15589195,38,766,13093.374
15663438,36,688,8977.23
15708063,36,712,10074.95
15649744,51,628,12398.131
15604304,34,539,9162.242
15784092,36,732,12619.581
15585198,41,715,9426.789999999999
15813168,39,756,10071.785
15724127,26,790,14158.170999999998
15768201,39,850,14858.664
15780144,32,512,12340.385
15624293,46,514,10651.185000000001
15660316,34,420,13554.99
15678886,38,679,11055.537
15592229,52,713,18589.154000000002
15798424,59,833,13085.458999999999
15714750,42,690,9257.814
15648800,21,731,13231.206
15626147,62,608,14497.65
15626608,48,479,8707.023
15592583,47,731,11541.419
15759381,61,617,9107.043
15585241,29,756,11741.219000000001
15589358,31,848,9001.845
15789955,56,698,11241.481
15596800,33,779,15845.676000000001
15645316,58,612,14964.153
15593973,33,663,12252.818
15647301,45,549,14373.401000000002
15750258,32,675,15566.331
15628205,34,571,10173.666000000001
15733974,37,500,12582.221000000001
15656121,31,733,15779.107
15698510,42,468,18162.714
15569247,57,727,10967.972
15566251,37,618,9665.286
15716134,40,617,19000.832000000002
15694821,43,765,14896.276000000002
15575581,30,614,13134.452
15671209,29,593,10171.384
15722993,27,700,13796.307
15752463,29,826,12993.807
15589754,45,652,15142.144
15669899,45,755,13564.3
15766887,39,538,12277.35
15768006,34,729,15230.38
15811327,54,700,7941.567
15690007,58,434,12580.103
15781802,41,755,10481.741
15600997,32,747,6749.503999999999
15750776,36,850,16485.054
15723907,49,712,15477.642000000002
15633419,28,622,14312.463
15650351,38,653,10213.338
15590820,26,699,7993.241
15640454,40,693,12071.172999999999
15697789,43,647,12271.753
15808182,36,478,9236.33
15588670,40,705,20371.515
15814032,31,807,9346.047
15624428,24,651,4022.47
15755638,43,673,16806.973
15755649,47,584,13053.877
15795228,37,756,13262.36
15589257,35,670,10346.502
15719302,50,765,12654.78
15639882,30,528,12826.272
15791279,40,701,16974.264000000003
15686909,27,639,15079.581
15589572,61,785,12985.572
15779947,28,363,14609.842999999999
15739131,28,718,6564.33
15678058,38,584,10458.416000000001
15804602,30,772,9978.528
15651052,46,399,12765.522
15569451,35,463,10125.716
15724307,76,780,12131.388
15594864,30,752,8152.338000000001
15616451,47,697,12825.266
15696900,29,505,14554.155999999999
15812272,44,693,12460.158
15654654,33,725,11518.284
15697625,37,791,16378.948999999999
15616280,46,536,6573.341
15628298,47,500,12848.611
15733387,53,707,10966.347
15775572,42,531,8832.431
15613844,28,557,14644.524
15742480,36,775,10994.905
15749482,30,772,7865.305
15607537,46,587,10785.082
15575410,39,667,8376.535
15684865,66,771,14377.307
15600700,63,523,11622.727
15774155,33,662,10347.152
15619626,24,746,13749.235
15617934,36,579,12982.958999999999
15760774,21,519,14632.957
15813132,30,696,11402.77
15593331,25,693,14658.069
15616709,38,587,13212.242000000002
15658052,44,626,8155.392999999999
15702789,32,548,17521.470999999998
15814930,40,588,12553.451
15658306,68,693,9770.599
15699523,55,499,12681.765
15610383,46,628,4687.043
15781989,42,733,12009.492999999999
15701265,36,559,10435.694
15743532,27,704,14700.434
15794870,38,744,7302.317
15747591,40,665,17343.254999999997
15726557,42,638,16567.992000000002
15732199,31,837,10467.862
15662291,55,534,11697.326
15781586,38,837,12673.285
15617078,44,658,14848.109
15723339,38,554,13765.404999999999
15671322,30,724,11531.503999999999
15793854,42,723,9909.573
15756539,39,585,16561.041
15625916,32,562,16162.866
15683195,32,719,14660.526999999998
15690182,37,635,11348.867999999999
15721719,42,743,7700.219999999999
15779182,46,790,18236.453
15609510,45,669,14936.457999999999
15742229,59,583,12745.014
15658532,63,520,16227.832
15590993,37,579,15221.288
15565701,39,698,16199.389000000001
15597239,39,548,13146.844000000001
15688880,40,672,10298.044
15813917,31,653,14332.197
15679611,37,734,13040.492
15687752,30,641,8750.547
15584363,30,824,13363.401999999998
15737748,33,534,15123.362
15803365,55,653,7026.383
15572360,30,683,5765.749
15795166,42,618,15357.231
15724620,37,538,13475.207999999999
15800856,34,643,8313.208999999999
15683930,32,593,13409.653
15749004,31,718,11810.059
15800434,52,811,7691.539999999999
15709117,46,823,8157.675
15662294,33,710,11832.717
15690079,30,591,12485.769
15759317,27,748,9097.185000000001
15750497,37,850,15314.775
15596181,38,542,6594.226
15734634,27,607,10091.219000000001
15763612,41,756,12443.949
15598846,44,700,5878.176
15629244,50,635,15945.364000000001
15765537,26,687,14272.151999999998
15729975,46,613,16779.56
15682773,38,781,12834.569
15688007,20,703,16526.098
15574331,62,593,11823.381
15575417,37,849,14345.274
15796721,38,778,14501.848999999998
15734942,38,539,8240.751
15664772,28,489,7946.098
15682563,38,618,12647.399000000001
15650889,30,710,13353.710000000001
15612108,52,625,16497.801
15761132,46,682,12802.972
15645511,43,727,9740.318
15609824,41,794,17684.541
15645778,42,670,8158.9039999999995
15691104,40,460,11950.758
15777826,30,643,9444.377
15576162,32,615,9219.984
15613141,41,717,13575.696
15635435,54,648,12063.342
15596552,48,535,13454.273000000001
15769005,49,709,15434.448999999999
15722364,43,664,18902.653
15704954,37,431,12076.408
15694409,22,647,9797.582
15683841,41,555,11327.02
15719958,39,850,12454.899000000001
15689514,43,625,20169.607
15627232,44,608,11420.347
15722902,50,652,12543.764
15792722,43,611,6489.775
15771942,46,528,13555.566
15774738,44,632,10776.475
15574004,27,429,11730.744
15587233,41,457,7370.012
15808228,44,768,6060.34
15682834,35,715,4016.988
15571752,32,668,9204.187
15743067,26,625,13048.395
15696637,23,571,15109.728
15690647,46,582,6756.331
15672756,35,716,11280.818
15674526,66,725,8645.98
15775295,40,630,11863.308
15684196,55,627,15944.126999999999
15787835,38,775,12521.265
15730540,45,794,8865.636999999999
15646276,32,831,14603.362
15582180,29,561,12026.813
15754796,46,487,13507.057999999999
15670481,27,684,12255.005000000001
15613282,29,757,13030.649000000001
15797276,41,662,9035.077000000001
15612494,44,359,12874.769
15629617,23,572,12687.352
15600821,69,721,10842.419
15814268,40,444,8435.007000000001
15693904,30,685,8495.86
15588986,29,673,9909.736
15797733,30,503,13662.255
15620507,30,485,15677.168
15685150,28,799,16765.833
15774166,24,607,10948.354
15649280,40,521,13450.478
15705657,44,535,11442.786
15753969,45,724,8388.854
15742378,32,520,11002.977
15794874,41,696,12752.375
15589221,30,657,13976.213
15596671,42,603,9161.112
15583668,42,726,10947.179
15710206,39,591,15050.064000000002
15799966,59,792,10160.977
15626485,26,601,7889.223
15703143,29,820,8234.484
15585282,62,755,12770.633
15714993,41,552,12434.934
15646615,28,576,11933.628999999999
15574068,56,504,10421.73
15796334,39,558,14475.702
15646302,24,705,10016.951
15680855,33,637,14573.182999999999
15697311,56,697,11080.203
15585367,46,555,12039.299
15726556,26,594,13506.751999999999
15676242,31,632,13655.644
15774882,35,687,9958.742999999999
15608653,34,521,7073.107000000001
15784280,35,686,10934.282000000001
15678385,25,465,7824.731
15571778,55,817,11756.149000000001
15657085,23,578,8898.032000000001
15566211,41,616,10356.057
15669293,37,517,11330.884
15753566,32,806,6376.349
15650391,29,633,16998.835
15681843,35,624,18030.324
15670374,49,819,12065.686
15762332,31,568,6159.214
15700223,48,806,16470.167999999998
15729956,26,726,8078.0160000000005
15598782,30,755,15422.136999999999
15703399,26,756,10164.114
15630725,45,649,9278.666000000001
15640260,32,595,13108.166000000001
15716822,30,646,9801.474
15605968,26,574,9746.01
15790683,36,850,10407.719000000001
15716491,51,710,9365.695
15625824,30,596,12134.588
15617705,39,609,14167.523000000001
15634891,43,504,10236.549
15580845,57,685,10186.850999999999
15694296,35,631,11239.244999999999
15677049,25,595,10657.034
15590146,50,630,8194.776
15801548,31,661,14416.23
15660833,39,796,8635.087
15762277,47,710,15862.314000000002
15798975,48,606,13240.356
15577274,43,549,13498.566
15638149,37,528,10377.244999999999
15786199,33,535,13304.032000000001
15788676,38,539,7146.067
15602497,39,850,13321.413
15701333,37,646,9655.866
15812071,54,744,9380.631
15738267,64,544,12404.380000000001
15786800,52,723,13169.497
15720662,35,787,10626.68
15568360,41,569,13984.035999999998
15668058,35,661,12409.854
15597131,32,415,14580.759
15640953,26,611,10750.893
15589660,32,661,14598.023000000001
15769818,37,850,21277.82
15782736,47,573,15252.247
15614818,33,764,16896.477
15723411,36,607,9826.630000000001
15797686,38,558,11300.092
15605950,23,530,13706.088
15812497,37,654,11214.612
15690678,33,530,12930.732
15747677,69,656,16397.509
15673908,42,602,15841.485
15727944,48,701,9207.268
15807294,30,653,8824.329
15584364,48,652,5948.630999999999
15568106,38,592,11927.801
15779481,34,628,15874.143
15709994,40,658,14059.695000000002
15706815,37,515,9043.292
15618018,35,571,10478.381
15671032,42,760,7799.2970000000005
15634281,43,720,11082.289999999999
15766374,42,632,11962.460000000001
15600991,31,694,10905.259
15777576,40,559,13912.944
